0,1321111110
1,1321111111
2,1321111112
3,1321111113
4,1321111114
5,1321111115
6,1321111116
7,1321111117
8,1321111118
9,1321111119
10,13211111110
11,13211111111
12,13211111112
13,13211111113
14,13211111114
15,13211111115
16,13211111116
17,13211111117
18,13211111118
19,13211111119
20,13211111120
21,13211111121
22,13211111122
23,13211111123
24,13211111124
25,13211111125
26,13211111126
27,13211111127
28,13211111128
29,13211111129
30,13211111130
31,13211111131
32,13211111132
33,13211111133
34,13211111134
35,13211111135
36,13211111136
37,13211111137
38,13211111138
39,13211111139
40,13211111140
41,13211111141
42,13211111142
43,13211111143
44,13211111144
45,13211111145
46,13211111146
47,13211111147
48,13211111148
49,13211111149
50,13211111150
51,13211111151
52,13211111152
53,13211111153
54,13211111154
55,13211111155
56,13211111156
57,13211111157
58,13211111158
59,13211111159
60,13211111160
61,13211111161
62,13211111162
63,13211111163
64,13211111164
65,13211111165
66,13211111166
67,13211111167
68,13211111168
69,13211111169
70,13211111170
71,13211111171
72,13211111172
73,13211111173
74,13211111174
75,13211111175
76,13211111176
77,13211111177
78,13211111178
79,13211111179
80,13211111180
81,13211111181
82,13211111182
83,13211111183
84,13211111184
85,13211111185
86,13211111186
87,13211111187
88,13211111188
89,13211111189
90,13211111190
91,13211111191
92,13211111192
93,13211111193
94,13211111194
95,13211111195
96,13211111196
97,13211111197
98,13211111198
99,13211111199
